read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T04:02:24Z	200	0.387924	56	2026-09-20T04:01:28Z	ok	60
2026-09-20T04:03:24Z	000	25.000987				60
2026-09-20T04:04:24Z	200	17.314629	13	2026-09-20T04:04:29Z	crossed	60
2026-09-20T04:05:24Z	200	0.389494	55	2026-09-20T04:04:29Z	ok	60
2026-09-20T04:06:24Z	000	25.002188				60
2026-09-20T04:07:24Z	200	18.471119	14	2026-09-20T04:07:29Z	crossed	60
2026-09-20T04:08:24Z	200	0.374838	56	2026-09-20T04:07:28Z	ok	60
2026-09-20T04:09:24Z	000	25.000974				60
2026-09-20T04:10:24Z	200	12.849723	9	2026-09-20T04:10:28Z	crossed	60
2026-09-20T04:11:24Z	200	0.439071	56	2026-09-20T04:10:29Z	ok	60
2026-09-20T04:12:24Z	000	25.001957				60
2026-09-20T04:13:24Z	200	17.575487	14	2026-09-20T04:13:28Z	crossed	60
2026-09-20T04:14:24Z	200	0.400030	56	2026-09-20T04:13:28Z	ok	60
2026-09-20T04:15:24Z	000	25.002677				60
2026-09-20T04:16:24Z	200	12.218249	11	2026-09-20T04:16:25Z	crossed	60
2026-09-20T04:17:24Z	200	0.415380	59	2026-09-20T04:16:26Z	ok	60
2026-09-20T04:18:24Z	000	25.002286				60
2026-09-20T04:19:24Z	000	25.001924				60
2026-09-20T04:20:24Z	200	0.411573	56	2026-09-20T04:19:29Z	ok	60
2026-09-20T04:21:24Z	000	25.001640				60
2026-09-20T04:22:24Z	200	19.639757	15	2026-09-20T04:22:28Z	crossed	60
2026-09-20T04:23:24Z	200	0.383729	56	2026-09-20T04:22:29Z	ok	60
2026-09-20T04:24:24Z	000	25.002472				60
2026-09-20T04:25:24Z	200	15.265879	11	2026-09-20T04:25:28Z	crossed	60
2026-09-20T04:26:24Z	200	0.525941	57	2026-09-20T04:25:28Z	ok	60
2026-09-20T04:27:24Z	000	25.002708				60
2026-09-20T04:28:24Z	200	17.293155	14	2026-09-20T04:28:27Z	crossed	60
2026-09-20T04:29:24Z	200	0.371457	57	2026-09-20T04:28:28Z	ok	60
2026-09-20T04:30:24Z	000	25.002682				60
2026-09-20T04:31:24Z	200	15.880562	12	2026-09-20T04:31:28Z	crossed	60
2026-09-20T04:32:24Z	200	0.428225	57	2026-09-20T04:31:27Z	ok	60
2026-09-20T04:33:24Z	000	25.002304				60
2026-09-20T04:34:24Z	200	15.572726	12	2026-09-20T04:34:28Z	crossed	60
2026-09-20T04:35:24Z	200	0.414740	56	2026-09-20T04:34:28Z	ok	60
2026-09-20T04:36:24Z	000	25.001231				60
2026-09-20T04:37:24Z	200	13.589688	10	2026-09-20T04:37:28Z	crossed	60
2026-09-20T04:38:24Z	200	0.425861	56	2026-09-20T04:37:28Z	ok	60
